Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,600;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,600;00:15,600;"to be funny, but really they're just being stupid."
00:15,600;00:17,160;"You still want to listen?"
00:17,160;00:18,160;"Go right ahead."
00:18,160;00:19,680;"I am not your mother."
00:19,680;00:27,520;"Alright, welcome back, quality who are still with us, after the bullshit we've said."
00:27,520;00:33,520;"For the first 11 weeks, this is week 12 of the 2001 New England Patriots season where"
00:33,520;00:39,160;"the Pats go to travel to the metal land stadium back then, I believe so."
00:39,160;00:46,400;"They face the New York Jets, the 7 and 3 AFC East co-leaders New York Jets."
00:46,400;00:51,080;"The Pats are 6 and 5 right behind them tied with the Dolphins for the first in the AFC East."
00:51,080;00:58,200;"We've already talked about the Jets back in week two."
00:58,200;01:05,200;"Not much to talk about really other than that, so let's give a bit of an update into"
01:05,200;01:09,000;"how they're doing so far."
01:09,000;01:16,880;"Curtis Martin, there was a lot of talk about him in this game."
01:16,880;01:20,520;"They talked about his success and how well he had played against Patriots, and he had"
01:20,520;01:23,880;"some quote about how he wished he could play them eight games a year."
01:23,880;01:28,200;"I think the Patriots would disagree because the quote was in seven"
01:28,200;01:29,800;"reunions against the Patriots."
01:29,800;01:34,040;"You gain more than 100 yards against them five times, including"
01:34,040;01:38,320;"106 yards in the 10 to three Jets victory earlier in the season."
01:38,320;01:43,200;"And at this point, he was right up."
01:43,200;01:46,840;"I think he was always saying it's like 17 yards away from a thousand"
01:46,840;01:47,360;"yards season."
01:49,080;01:50,680;"And that's correct."
01:50,680;01:55,000;"Yeah, I think the 17 and which you would get in this game, of course,"
01:55,000;01:56,540;"because it's current smart against Patriots."
01:56,540;01:58,080;"Back then."
01:58,080;02:05,280;"And then that gave him a row, right?"
02:05,280;02:08,800;"Yeah, for his first seven seasons in a row, you know,"
02:08,800;02:10,320;"he was one of only three guys to do it."
