Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:18,400;"I am not your mother."
00:18,400;00:27,680;"Welcome back to the Patre's Dinesy Podcast."
00:27,680;00:31,240;"I am your host, Andy Brown, with me are the brothers Brown,"
00:31,240;00:35,000;"fresh off of a, I think our experiment"
00:35,000;00:40,000;"into other fan bases was a short one, short lived"
00:40,000;00:45,400;"from our Browns on Browns podcast earlier."
00:45,400;00:48,400;"- I thought it was, I think I stunk up the joint."
00:48,400;00:50,560;"- Yeah."
00:50,560;00:51,560;"- No."
00:51,560;00:54,680;"- C minus."
00:54,680;00:55,520;"- I was trying to think of a group."
00:55,520;00:56,840;"- Very naughty."
00:56,840;00:59,240;"I think it was poop joke."
00:59,240;01:01,360;"Yeah, so we didn't end up dropping the Browns off"
01:01,360;01:02,920;"at the pool."
01:02,920;01:05,000;"Jump off that then."
01:05,000;01:09,080;"So yeah, but I think going from watching"
01:09,080;01:11,480;"all of these Cleveland Brown losses,"
01:11,480;01:14,040;"even though that was just the highlights,"
01:14,040;01:18,760;"the shift from that to the game we're talking about this week,"
01:18,760;01:22,400;"Greg, you want to introduce us to what this game is?"
01:22,400;01:25,560;"Yeah, can we just play that the clash song?"
01:25,560;01:28,920;"I fought the law and the love one."
01:28,920;01:32,080;"I fought the law and the law one."
01:32,080;01:34,280;"I'll see if I can fit that in here in the post."
01:34,280;01:37,080;"That describes this game."
01:37,080;01:38,280;"So what was it?"
01:38,280;01:41,480;"The single greatest."
01:41,480;01:46,200;"Single defensive player game in Patriots history."
01:46,200;01:48,440;"Okay."
01:48,440;01:51,160;"And we want to argue that."
01:51,160;01:53,680;"William, I'll come for you."
01:53,680;01:59,840;"throw. Well, it did set the league record in sacks in the playoff game once."
