Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,760;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,760;00:08,200;"you have the choice not to."
00:08,200;00:12,400;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,400;00:14,240;"they're just being stupid."
00:14,240;00:15,480;"You still want to listen?"
00:15,480;00:16,480;"Go right ahead."
00:16,480;00:22,880;"I am not your mother."
00:22,880;00:26,120;"Welcome back to the Patre's Dimesy Pod Test."
00:26,120;00:28,200;"It's been a while."
00:28,200;00:30,680;"We are back, came your host, Andy Brown,"
00:30,680;00:35,680;"going through the 2004 season of the Patriots Dynasty."
00:35,680;00:37,720;"And we are finally at the end."
00:37,720;00:40,200;"We are at the Super Bowl, Super Bowl 39"
00:40,200;00:42,560;"against the Philadelphia Eagles."
00:42,560;00:45,240;"And with me, as always, thank you."
00:45,240;00:51,760;"Are my brothers Brown as usual,"
00:51,760;00:52,800;"although it hasn't been as always,"
00:52,800;00:54,440;"'cause it's been a while."
00:54,440;00:56,200;"Steve, Greg, how are you boys doing?"
00:57,440;01:03,280;"good. It's good to be back. I want to put out there for the record that I watched this game"
01:03,280;01:11,440;"over a month ago, five weeks ago. And my two brothers so selfishly decided to have babies"
01:11,440;01:16,400;"hence our delay. This is not on me. I just want to make sure all of our listeners understand that."
01:16,400;01:23,280;"If it was up to me, I could record any time. Except for that week you were in Greece getting"
01:23,280;01:27,360;"engaged, but other than yeah, yeah, yeah, well, the grease, then the bachelor party,"
01:27,360;01:32,240;"then the three weddings back to back to back, then trip to Texas to Austin,"
01:32,240;01:34,840;"then back to Arizona, it was a lot."
01:34,840;01:39,240;"So all I'm hearing is I was too popular to do this podcast."
01:39,240;01:42,280;"Yes. Yes. Well, you guys are just cleaning up shit."
01:42,280;01:44,000;"I'm creating shit."
01:44,000;01:44,280;"Yeah, in the"
01:44,280;01:46,680;"- Elevating around the world."
01:46,680;01:47,760;"Way to rub it in."
01:47,760;01:56,440;"And that you can hear is our podcast, ""Yes"" for today."
01:56,440;01:57,760;"- Correct."
01:57,760;02:01,440;"- This is my buddy Kieran Stowe hanging out."
02:01,440;02:02,480;"- Say what's up, baby."
02:02,480;02:05,200;"Give him a googoo gaga for the fans."
02:05,200;02:07,800;"- Come on, do something."
02:07,800;02:09,000;"Entertain us."
02:09,000;02:11,040;"- Andy, can you just slap him around a bit"
02:11,040;02:12,320;"and make him make some noise?"
02:12,320;02:13,760;"- Yeah, give him a little shake or something."
02:13,760;02:16,160;"- Yeah, yeah, shake the baby."
02:16,160;02:19,320;"- Speaking of babies, or Greg."
02:19,320;02:21,520;"- It's a delicate line, isn't it Andy?"
02:21,520;02:22,620;"Shakin' a baby?"
02:22,620;02:24,440;"You know?"
02:24,440;02:26,880;"- Because where's the line between bouncing and shaking, right?"
02:26,880;02:31,280;"- Yeah, 'cause bouncing, they love shaking."
02:31,280;02:34,360;"They're gonna be maldeveloped for the rest of their lives."
02:34,360;02:35,360;"- Right, yeah."
02:35,360;02:37,200;"Although playing with fire."
02:37,200;02:39,320;"- Yeah, with brown children, I think,"
02:40,400;02:44,960;"with the children of us, they're probably gonna have trouble in their life anyway."
02:44,960;02:46,400;"I speak for yourself."
02:46,400;02:48,400;"[laughter]"
