Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:18,400;"I am not your mother."
00:18,400;00:26,680;"All right, welcome back to the Patriots Dynasty Podcast."
00:26,680;00:29,120;"I'm your host Andy Brown."
00:29,120;00:35,860;"with me today is middle brother Steve Brown. He of who gets no respect. Have you gotten"
00:35,860;00:41,900;"any respect lately, Steve? I get more respect than the goddamn jets do, but they don't deserve"
00:41,900;00:49,780;"it. This is true. They don't deserve it. We are for those who are new listeners, if they're"
00:49,780;00:55,640;"aren't any. We are the Brown brothers. Oh, which game should I start with? About"
00:55,640;00:58,760;"Hey, you know, maybe they just discovered us."
00:58,760;01:02,440;"Maybe, maybe someone, I don't know, found us tweet."
01:02,440;01:06,560;"They're listening to that first fucking Bengals game, which is just a disaster."
01:06,560;01:08,080;"Yeah, that was a rough one."
01:08,080;01:09,560;"I mean, I shouldn't read that."
01:09,560;01:15,400;"But if you're smart enough and you started at this one, I don't know how smart that is either."
01:15,400;01:18,040;"I would go back and listen to the playoff ones because it was a game."
01:18,040;01:20,640;"It was."
01:20,640;01:24,480;"It's a typical AFCE's battle."
01:24,480;01:30,640;"below we do is we rewatch. We're rewatching every game of the Dynasty era. We started in 2001."
01:30,640;01:35,760;"And we're halfway through 2004 at this point. This is 2004 week seven."
01:35,760;01:40,000;"Patriots playing at home versus the Jets. This is their third home game in a row, I believe."
01:40,000;01:47,600;"Weirdly. Yeah, it's one of those like strange streaks where they had three home games in a row."
01:47,600;01:53,440;"Speaking of streaks. Speaking of streaks, absolutely."
01:54,320;01:56,420;"What is the wind streak up to at this point, Steve?"
01:56,420;01:57,620;"I don't know."
01:57,620;02:00,680;"Twenty one coming into this game is 20."
