Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:19,440;"I am not your mother."
00:19,440;00:29,080;"Welcome back to the Phages Sanicy Podcast, where we are going back and rewatching every"
00:29,080;00:33,160;"of the Patriots dynasty era starting 2001."
00:33,160;00:37,840;"This week we are up to season 2004, week 12."
00:37,840;00:41,640;"The Patriots at home against the Baltimore Ravens"
00:41,640;00:44,440;"in neck deep in mud."
00:44,440;00:47,240;"Nice and rainy and muddy and gross."
00:47,240;00:50,480;"So speaking of muddy and gross with me today,"
00:50,480;00:52,680;"I'm your host, Andy Brown with me today."
00:52,680;00:54,680;"Are both my brothers, Steve Brown,"
00:54,680;00:57,360;"who is feeling muddy in the butt area, I think."
00:59,000;01:00,000;"That's fine."
01:00,000;01:01,000;"Yes, yes."
01:01,000;01:03,280;"Not a little bit less, but I'm here."
01:03,280;01:04,280;"All right."
01:04,280;01:05,280;"Fighting through it."
01:05,280;01:06,280;"I love it."
01:06,280;01:11,120;"And Greg Brown as well, who is muddy in the upper lip area at the moment."
01:11,120;01:12,120;"That's right."
01:12,120;01:13,120;"That is also true."
01:13,120;01:14,120;"Yeah."
01:14,120;01:15,120;"Quite a mustache."
01:15,120;01:16,120;"But Greg's like a blonde mud."
01:16,120;01:18,080;"I don't know if that's a thing."
01:18,080;01:19,080;"Yeah."
01:19,080;01:20,080;"Let's be clear."
01:20,080;01:24,280;"This mud on my mustache is not the same as the mud since Steve's butt."
01:24,280;01:27,480;"I want that on the record."
01:27,480;01:29,480;"I'm not sure."
01:29,480;01:30,480;"Noted."
01:30,480;01:31,480;"Yeah."
01:31,480;01:32,480;"All right."
01:32,480;01:40,760;"But before we get into the game, I think we should address the elephant in the room."
