Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,600;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,600;00:15,600;"to be funny, but really they're just being stupid."
00:15,600;00:17,160;"You still want to listen?"
00:17,160;00:18,160;"Go right ahead."
00:18,160;00:20,360;"I am not your mother."
00:20,360;00:26,520;"Welcome back to the Danger Stylancy podcast."
00:26,520;00:27,520;"Week 17."
00:27,520;00:29,520;"We're actually keeping track."
00:29,520;00:34,520;"And we are down in North Carolina. We've decided no"
00:34,520;00:39,760;"Shaka Lackey. That's right for Patriots at Panthers last game in the regular season."
00:39,760;00:48,120;"Lot on the line here, at least for the Patriots, not so much for the Panthers, which we'll get into, but before we do, gentlemen, how are you?"
00:48,120;00:50,240;"Doing fantastic."
00:50,240;00:51,640;"Muy bien."
00:51,640;00:54,920;"Okay, you guys, you welcome to my hometown."
00:54,920;00:56,640;"That's right. Yeah."
00:56,640;00:58,200;"We're down. Go on and raise up."
00:58,200;01:27,940;"take your share it off. That's like about North Carolina, South Carolina. I think you say this for all. Carolina's. That's it. No. No. It's North Carolina. Yeah. Petey. Yeah. Yeah. North Carolinas get get offended if you confuse them because we know North Carolina's do dude. People get pissed off if you call Raleigh Durham one thing. Really?"
01:27,940;01:31,780;"Yeah, and they're like, this is an airport called the Raleigh Durham Airport."
01:31,780;01:34,740;"They consider them two separate cities."
01:34,740;01:36,420;"They are two separate cities."
01:36,420;01:38,060;"You son of a bitch."
01:38,060;01:41,940;"They're literally like right next to you."
01:41,940;01:43,100;"Yeah."
01:43,100;01:46,220;"Well, they're like 15, 20 miles apart."
01:46,220;01:47,220;"Yeah."
01:47,220;01:48,300;"That's true."
01:48,300;01:51,380;"And then those fucking losers over in Chapel Hill."
01:51,380;01:52,900;"Yeah."
01:52,900;01:53,820;"Yeah."
01:53,820;01:54,860;"And now you're living Durham."
01:54,860;01:57,900;"So you are kind of the expert on what to call it."
