Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:22,120;"I am not your mother."
00:22,120;00:24,280;"Welcome back to the Patreon Stylancy Podcast."
00:24,280;00:26,480;"I am your host Andy Brown."
00:26,480;00:31,520;"the podcast is going back and rewatching every Patriots game starting in 2001."
00:31,520;00:37,040;"Recurrently 2004 week eight match up against the Steelers with me today."
00:37,040;00:43,680;"Steve Brown made on Steve. Good. We have Gus here doing just as much work as Greg."
00:43,680;00:50,480;"Nice work. Yeah. Greg is not here because what was his excuse this time?"
00:50,480;00:55,120;"He's at a concert with mom and dad. Yeah. So I'm sure that's a great time."
00:55,680;00:56,680;"Oh yeah."
00:56,680;00:58,680;"The revolution, I believe."
00:58,680;00:59,680;"Oh, all right."
00:59,680;01:01,680;"I can get into some some reggae."
01:01,680;01:09,960;"But we figured we'd replace him with a professional as we well as more."
01:09,960;01:12,800;"Well, if you'd met Greg, you'd understand that it's a low bar."
01:12,800;01:14,520;"So all right, good."
01:14,520;01:15,520;"He's our fact checker."
01:15,520;01:19,280;"But this week we have with us Mike just so do."
01:19,280;01:20,280;"Thanks for joining us."
01:20,280;01:21,280;"Yeah, guys."
01:21,280;01:22,280;"Happy to be here."
01:22,280;01:23,280;"Yeah."
01:23,280;01:24,280;"All right."
01:24,280;01:29,880;"We're going to talk about you for a little bit first because otherwise having you here wouldn't make a lot of sense."
01:29,880;01:33,280;"Yeah, and we have to talk about this Steelers game."
01:33,280;01:37,280;"Yeah, so we're going to avoid that for as long as possible because that's a right."
01:37,280;01:40,280;"I don't need another Patriots loss to talk about right now."
01:40,280;01:47,280;"Right. Yeah, I mean, it does feel fitting though this week and this current game for some reason it just matched up well."
