Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:20,840;"I am not your mother."
00:20,840;00:23,840;"Welcome back."
00:23,840;00:30,120;"David Patriots dynasty podcast. I'm your host Andy Brown with me are the brothers"
00:30,120;00:36,040;"Brown. Steve Brown, how's it going? Great, great to be back in the playoffs. Damn"
00:36,040;00:40,320;"right. Yeah, I missed it. Back in the playoffs. It's been so long since we've"
00:40,320;00:46,080;"done a playoff episode, the whole whole season. And also Greg Brown from"
00:46,080;00:53,880;"vacation land USA live from South Carolina. Yeah, pork country. Some"
00:53,880;01:00,800;"summerton. Went down to my local pigly wiggly picked up some, you"
01:00,800;01:06,960;"know, pork butts. Some fried giblets, some pig skins. Yeah,"
01:06,960;01:12,400;"they legit had a five pound bag of pork skin."
01:14,800;01:16,800;"That's a lot of pork skin."
01:16,800;01:20,800;"I think you think is what is this five pounds of pork skin?"
01:20,800;01:24,160;"That's just one big big big big."
01:24,160;01:27,120;"The thing was probably the size of my torso."
01:27,120;01:29,600;"The bag itself. Oh my God."
01:29,600;01:32,800;"I think a pig had probably more than five pounds of skin."
01:32,800;01:34,520;"I mean, they're heavy."
01:34,520;01:36,000;"Yeah. I don't know."
01:36,000;01:37,800;"Depends how fat, right?"
01:37,800;01:38,800;"Stat check."
01:38,800;01:41,160;"I don't know."
01:41,160;01:43,640;"I don't know if we do that."
01:43,640;01:51,280;"I don't know what to type in speaking of pigskin. We're here to talk about some football."
01:51,280;01:57,240;"Oh, I like that. That's really good. Yeah. Yeah. Not warm weather football though. This"
01:57,240;02:05,040;"is about as cold as it gets. This is the divisional round playoffs. 2003 AFC divisional"
02:05,040;02:12,280;"round Patriots hosting the Tennessee Titans and co MVP Steve McNair country strong. Steve"
