Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,600;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,600;00:15,600;"to be funny, but really they're just being stupid."
00:15,600;00:17,160;"You still want to listen?"
00:17,160;00:18,160;"Go right ahead."
00:18,160;00:19,160;"I am not your mother."
00:19,160;00:20,160;"Welcome back."
00:20,160;00:29,240;"You are still with us, and welcome for the first time if this is your first episode,"
00:29,240;00:32,120;"if it is, that's kind of weird that you're starting at week 10, but we forgive you."
00:32,120;00:36,880;"Uh, like I said, this is week 10 of the 2001 NFL season."
00:36,880;00:40,800;"But stood upon us by our Lord and savior Thomas Patrick,"
00:40,800;00:41,720;"a Dr. Brady Jr."
00:41,720;00:43,280;"Did I get that right?"
00:43,280;00:46,280;"I can never remember the order of the middle."
00:46,280;00:46,880;"I think so."
00:46,880;00:48,800;"I think you should be the third."
00:48,800;00:49,880;"It just sounds better."
00:49,880;00:51,120;"Yeah."
00:51,120;00:53,560;"Thomas was a third."
00:53,560;00:56,280;"Wasn't there a player who's who is the second?"
00:56,280;00:58,920;"Yeah, a garden Minshew, the second."
00:58,920;01:01,640;"Yes. And Philip Dore said, right?"
01:01,640;01:10,340;"I thought he was the third. I don't know. I think he's the third, which makes sense, but you don't often see the second. But apparently it's because"
01:10,340;01:16,980;"it's not his father's name. It's his grandfather's name. So he's technically not a junior, but he is the second."
01:16,980;01:19,200;"Hmm. Yeah."
01:19,200;01:23,020;"That's from the block. Yes, that's right. That's where I learned it from."
01:24,260;01:28,260;"So yeah, if you want to learn more about Gardner Flintman shoe, is that right?"
01:28,260;01:33,220;"Mille and Flint Brownbrosports.com and read"
01:33,220;01:35,060;"Gregory's perusing about it."
01:35,060;01:37,260;"Love it."
01:37,260;01:41,380;"But today we're going to be talking about what I'm going to"
01:41,380;01:45,180;"pause it as the most important loss of the page."
01:45,180;01:46,020;"It's dynasty."
