Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:18,000;"I am not your mother."
00:18,000;00:25,080;"Welcome back to the Patriots Darnancy Podcast."
00:25,080;00:30,160;"And the host Andy Brown with me today is nobody."
00:30,160;00:36,160;"Brown brothers are off gallivanting on vacation and the sticks of Maine for the most part."
00:36,160;00:40,320;"But I got too excited to be able to wait for them because this next game that we're going"
00:40,320;00:45,060;"to talk about is kind of the reason that I started this podcast in the first place."
00:45,060;00:50,080;"Not this game specifically, but the game's just like this because most people when you"
00:50,080;00:52,720;"talk about the 2004 week five game."
00:52,720;00:56,560;"Three and oh, Patre's at home versus the Owen four dolphins."
00:56,560;00:58,720;"It don't really think about it much."
00:58,720;01:04,080;"Even though this was the game that the Patriots would spoiler alert, break"
01:04,080;01:06,640;"the all time wind streak record."
01:06,640;01:09,480;"It was 18 games coming in, which the Patriots shared with a bunch of teams,"
01:09,480;01:13,000;"including the 72 dolphins, funnily enough, on their way to the Patriots,"
01:13,000;01:15,440;"on their way to setting this for, I think it was 21 or 22 games."
01:15,440;01:18,800;"Most people still don't necessarily remember this game because it wasn't."
01:19,640;01:21,800;"in all fairness, like a great game."
01:21,800;01:26,120;"But the patient will go on to win this in kind of a bit of a snooze fest 24/10."
01:26,120;01:29,080;"So they won by two touchdowns, not a big deal."
01:29,080;01:35,560;"But the reason that it's worth rewatching really doesn't have a lot to do with the game itself."
01:35,560;01:41,320;"But it has to do with kind of one of the small stories in here that only really"
01:41,320;01:43,240;"makes sense looking back."
01:43,240;01:44,680;"And I'll get into that in a sec."
01:44,680;01:46,440;"But first I'm just going to set the scene a bit."
01:46,440;01:50,680;"This 2004 Miami Doll, I already talked to the Patriots there on their way to, you know,"
