Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,800;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,800;00:08,240;"you have the choice not to."
00:08,240;00:12,680;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,680;00:15,680;"to be funny, but really they're just being stupid."
00:15,680;00:17,240;"You still want to listen?"
00:17,240;00:18,240;"Go right ahead."
00:18,240;00:20,240;"I am not your mother."
00:20,240;00:27,280;"Alright, so this is what we talked about, the super special episode."
00:27,280;00:30,840;"We've finally gotten to our first Super Bowl of the Dynasty."
00:30,840;00:34,120;"And with us today, we have no offense to our other guests,"
00:34,120;00:37,000;"but probably our most famous guest, I would say."
00:37,000;00:40,680;"Former Patriots linebacker and three times Super Bowl champion"
00:40,680;00:42,040;"Matt Chatham."
00:42,040;00:43,680;"Matt, thanks for joining us."
00:43,680;00:44,800;"Well, thanks for having me on."
00:44,800;00:46,440;"This is fun, and I'm glad I worked out."
00:46,440;00:48,040;"This is a quarantine time."
00:48,040;00:49,960;"So we've all got a lot of time on our hands."
00:49,960;00:50,640;"Yes, we do."
00:50,640;00:56,440;"It's been OK so far, at least for me."
00:56,440;01:00,440;"I don't know how it's been for you, Matt, but it's actually starting to finally drag this past week."
01:00,440;01:06,200;"Yeah, I think we're kind of reaching that point, right? Where it's kind of the monotony of it all."
01:06,200;01:10,440;"I was having a blast with FamilyTime. We're having a great time getting closer and"
01:10,440;01:14,600;"spending more time with otherwise wouldn't have, but I think we're running out of stuff to do."
01:14,600;01:19,800;"It's like, you can only watch so many movies, you know, you can only make so many different meals,"
01:19,800;01:22,600;"and then it's like, okay, what else is out there?"
01:22,600;01:24,840;"Yeah, that's exactly right. I saw it. It was a podcast."
01:25,720;01:27,960;"We were rewatch every game from the dynasty."
01:27,960;01:31,640;"Yeah, this probably really worked."
01:31,640;01:34,120;"It was the perfect timing for it."
01:34,120;01:34,440;"Yeah."
01:34,440;01:36,360;"If only we had planned it that way."
01:36,360;01:39,880;"But yeah, I thought it'd get easier once the weather got nicer,"
01:39,880;01:43,480;"but now we just sit outside and do nothing instead of sitting inside and doing nothing."
01:43,480;01:46,040;"Just literally run out of shit to do."
01:46,040;01:48,200;"Yeah."
01:48,200;01:53,400;"So yeah, so I wanted to get into the Super Bowl 36 and stuff."
01:53,400;01:59,000;"And the first one I kind of just touch a bit on you and your journey as a"
