Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,840;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,840;00:08,280;"you have the choice not to."
00:08,280;00:12,480;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,480;00:14,320;"they're just being stupid."
00:14,320;00:15,560;"You still want to listen?"
00:15,560;00:16,560;"Go right ahead."
00:16,560;00:18,320;"I am not your mother."
00:18,320;00:25,800;"Welcome back to the Page of Stimes of Podcast."
00:25,800;00:28,840;"This is a 2002 season working our way through."
00:28,840;00:33,280;"We're on week 14 against the Buffalo Bills"
00:33,280;00:36,080;"with Drew Bletsoe's return to Gillette Stadium,"
00:36,080;00:38,200;"even though he never actually played there."
00:38,200;00:39,040;"- That's good."
00:39,040;00:42,080;"- But before we get into this game,"
00:42,080;00:44,040;"we have a very special guest on."
00:44,040;00:47,240;"So I'm an I personally am super excited to talk to."
00:47,240;00:50,480;"And we have with us today Brian Morrie."
00:50,480;00:54,400;"And you may not recognize the name,"
00:54,400;00:56,620;"but you'll recognize what he does"
00:56,620;00:59,420;"so i'm actually gonna let him explain"
00:59,420;01:01,400;"what he's doing these days"
01:01,400;01:03,360;"right"
01:03,360;01:05,600;"and well guys that's a happy uh..."
01:05,600;01:09,360;"i'm the executive director of the paper tall hane presented by ray tian"
01:09,360;01:10,800;"technology"
01:10,800;01:12,960;"and uh... you know after"
01:12,960;01:16,760;"of covering the team back in two thousand two for patreon for weekly but"
01:16,760;01:17,800;"uh..."
01:17,800;01:20,720;"run the museum now having a great time doing that"
01:20,720;01:23,500;"and get the talkable patron history more."
01:23,500;01:26,120;"- Yeah, and you're also doing the"
01:26,120;01:28,600;"paths from the past podcast too, correct?"
01:28,600;01:29,960;"- That's correct."
01:29,960;01:31,640;"- Which is something we enjoyed doing"
01:31,640;01:34,560;"and talking to a lot of alumni about their careers"
01:34,560;01:37,480;"and just kind of reminiscing a little bit."
01:37,480;01:39,240;"- Yeah, for those that haven't listened to it,"
01:39,240;01:40,600;"I highly recommend it."
01:40,600;01:41,680;"- It's great."
01:41,680;01:44,400;"- It's the top of my playlist whenever it comes out."
01:44,400;01:47,560;"It's some great stories that you wouldn't expect to hear"
01:47,560;01:48,400;"from--"
01:48,400;01:49,880;"- Yeah, that's how you can hear."
01:49,880;01:54,040;"Yeah, I actually enjoyed the one about Andre Tippet."
01:54,040;01:58,360;"And just kind of like how he was a little salty"
01:58,360;02:00,120;"about his time with the Patriots."
02:00,120;02:01,640;"I was surprised about that."
02:01,640;02:05,560;"'Cause that was kind of my first ever real,"
02:05,560;02:09,600;"like first name I recognize on the Patriots, you know?"
02:09,600;02:10,440;"Growing up."
02:10,440;02:13,400;"- Well, that was a lot guys, you know, they talk to you."
02:13,400;02:17,040;"I'll give you a quick story and I probably shouldn't share it."
02:17,040;02:17,880;"But--"
02:17,880;02:18,760;"- He's the best."
02:18,760;02:20,040;"Yeah, I could start."
02:20,040;02:21,520;"I want to go on."
02:21,520;02:24,600;"When we brought a lot of the Hall of Famers"
02:24,600;02:27,280;"will come back from a far induction."
02:27,280;02:33,120;"And so in 2009, when Robert Kraft decided"
02:33,120;02:38,280;"to induct Billy Sullivan in the 50th anniversary season"
02:38,280;02:40,600;"for the team, obviously the original owner"
02:40,600;02:44,600;"and the founder of the Patriots, John Hana said to me,"
02:44,600;02:45,240;"you know what I mean?"
02:45,240;02:46,160;"Don't sit me anyway."
02:46,160;02:48,160;"know the Sullivan family."
02:48,160;02:59,560;"Because he was salty and you never got over his holdout and I think 77 maybe it was."
02:59,560;03:04,600;"Where you know him and Leon Gray both held out on the left side of the offensive line"
03:04,600;03:11,100;"there and I think he just felt like you know the Sullivan's weren't committing financially"
03:11,100;03:12,640;"to the success of the team."
03:12,640;03:15,340;"And so he was a bit sloppy about that."
03:15,340;03:17,560;"And if you know John, he doesn't certainly"
03:17,560;03:18,320;"hide his opinions."
03:18,320;03:21,600;"So he said that."
03:21,600;03:22,920;"I was like, OK, John, whatever."
03:22,920;03:30,280;"How have you been the director of the Hall of Fame?"
03:30,280;03:33,200;"Since it opened in 2008, I actually went back."
03:33,200;03:38,200;"So I was at the Patriots from 1997 to 2005, covering the team"
03:38,200;03:41,080;"as the editor of Patriots Football Weekly."
03:41,080;03:44,920;"And then left in 2005 and went down to work"
03:44,920;03:47,480;"at the score in Providence."
03:47,480;03:48,960;"I told him this afternoon drive,"
03:48,960;03:50,760;"talk show with Scott Corducci,"
03:50,760;03:53,480;"down in Providence from three to seven on weekdays."
03:53,480;03:56,440;"And then when the whole thing was under construction,"
03:56,440;04:01,240;"I went back to the Patriots in December of 2007"
04:01,240;04:03,520;"and helped finish the exhibit development"
04:03,520;04:07,200;"and get the building opened and been there ever since."
04:08,120;04:14,120;"So you're in charge of kind of like designing all the exhibits and things like that and putting those together?"
04:14,120;04:20,120;"Yeah, we have a great group that does that and thankfully the craft is very committed to it."
04:20,120;04:30,120;"You know, in terms of the fan experience and really staying committed to making sure that the Hall of Fame stays updated."
04:30,120;04:33,820;"have probably spent, since winning the Super Bowl"
04:33,820;04:37,360;"against Seattle in 2014, they've probably"
04:37,360;04:40,040;"spent close to $3 million renovating the building."
04:40,040;04:42,640;"So they're really committed to making sure"
04:42,640;04:45,600;"that the fans are getting a great experience there."
04:45,600;04:47,080;"And to be honest with you, I think"
04:47,080;04:52,720;"when we opened, our Super Bowl gallery was just OK."
04:52,720;04:55,720;"And the impetus to really change that"
04:55,720;04:59,960;"was the win over Seattle, the way that game finished,"
04:59,960;05:05,360;"with Malcolm Butler, and it really may have paused and sink and make some changes."
05:05,360;05:11,800;"We actually got it the gallery and the gallery in front of it, which was called the fan zone,"
05:11,800;05:14,920;"and we really expanded the Super Bowl exhibit."
05:14,920;05:20,520;"And then, of course, when the Falcon Super Bowl happened, we had to do something special"
05:20,520;05:25,360;"for that, and so we actually built floor out over the pro shop and expanded the exhibit"
05:25,360;05:26,360;"even further."
05:26,360;05:29,120;"And then we had that whole home went against the Rams."
05:29,120;05:31,320;"So that was easy."
05:31,320;05:34,600;"Yeah, so they're actually making your job harder every time"
05:34,600;05:36,600;"they win a Super Bowl, is what you're saying."
05:36,600;05:38,560;"Well, yeah, you know what though?"
05:38,560;05:40,280;"It's invigorating."
05:40,280;05:41,360;"I truly love it."
05:41,360;05:44,800;"I mean, I love the-- when we get to do something new like that,"
05:44,800;05:47,800;"that really kind of gets me going."
05:47,800;05:50,440;"You get motivated to see that stuff."
05:50,440;05:52,640;"So if they want to keep adding trophies,"
05:52,640;05:55,760;"we'll figure out where to put them."
05:55,760;06:00,760;"- How does somebody get into a job like that?"
06:00,760;06:04,960;"'Cause did you have any experience in this sort of thing?"
06:04,960;06:08,240;"- I had none and I made that very clear in fact."
06:08,240;06:13,760;"So when I was, they had reached out to me about coming back"
06:13,760;06:16,520;"and they really have the role defined yet,"
06:16,520;06:20,360;"but they knew that, you know, they knew me."
06:20,360;06:22,680;"I knew them, I knew the culture."
06:22,680;06:26,840;"So I think, so when I sat with Jonathan Kraft"
