Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:18,640;"I am not your mother."
00:18,640;00:25,080;"Welcome back to the Pages Diescy Podcast."
00:25,080;00:31,720;"Well, the only podcast dedicated to rewatching every game of the pages down in Sierra."
00:31,720;00:33,680;"I'm your host, Andy Brown."
00:33,680;00:37,960;"With me tonight, as always, are my trusty brothers."
00:37,960;00:38,960;"Not trustworthy, but trusty."
00:38,960;00:41,720;"Especially that Greg Brown."
00:41,720;00:43,720;"What's the difference?"
00:43,720;00:47,520;"How did you say as always as if like Greg is here all the time?"
00:47,520;00:49,640;"I mean, has been lately."
00:49,640;00:50,640;"Yeah."
00:50,640;00:52,920;"This season, I don't think either of you have missed a game, right?"
00:52,920;00:54,080;"I'm not going to fact check that."
00:54,080;00:56,180;"I didn't do that anymore either."
00:56,180;00:58,600;"I didn't watch last week for the first time forever."
00:58,600;00:59,800;"I did watch this one though."
00:59,800;01:00,800;"Most of it."
01:00,800;01:02,360;"I did a bit of a quote."
01:02,360;01:05,240;"Yeah, but you've both been here for all of these, at least."
01:05,240;01:11,080;"Yes, I have PTSD from Greg would only show up once every five times."
01:11,080;01:13,360;"That was years ago."
01:13,360;01:16,520;"This whole lenient scheduling has been a godsend."
01:16,520;01:21,440;"Yeah, because we're only showing up now when all of us can actually do it."
01:21,440;01:23,160;"That's a good point."
01:23,160;01:24,240;"God for that baby."
01:24,240;01:27,680;"Kids really say my ass."
01:27,680;01:33,480;"Yeah, he's please put in a crimp on my style, but I don't have"
01:33,480;01:34,320;"much style to begin with."
01:34,320;01:34,980;"So it's all good."
01:34,980;01:36,840;"Speaking of babies, huh, Steve?"
01:36,840;01:38,440;"Way, way."
01:38,440;01:41,640;"And he's being a baby."
